evidence_set,journal,canonical_year,doi,title,subtype,held_out_reason,evaluation_use,metadata_note
intermediation-markets,RFS,2025,10.1093/rfs/hhaf046,Liquidity Provision on Blockchain-Based Decentralized Exchanges,dealer_otc_venues_orderflow_price_discovery,Keep held out for evaluation; do not use to derive the current rules.,Tests transfer from traditional liquidity concepts to on-chain venue mechanics.,
theory-structural,JF,2021,10.1111/jofi.12980,A Unified Model of Firm Dynamics with Limited Commitment and Assortative Matching,design_transfer_stress_test,Reserved to test whether firm-dynamics and matching guidance transfers beyond the selected corporate quantitative models.,Reserved to test whether firm-dynamics and matching guidance transfers beyond the selected corporate quantitative models.,
theory-structural,JF,2021,10.1111/jofi.13061,Prospect Theory and Stock Market Anomalies,design_transfer_stress_test,Reserved for behavioral asset-pricing theory and calibration transfer.,Reserved for behavioral asset-pricing theory and calibration transfer.,
theory-structural,JF,2025,10.1111/jofi.13422,Designing Stress Scenarios,quantitative_policy_transfer,Reserved for quantitative policy-design transfer beyond selected theory and structural anchors.,"Test whether scenario design, discipline, and policy implications are separated from reduced-form evidence.",
theory-structural,JF,2024,10.1111/jofi.13324,Modeling Conditional Factor Risk Premia Implied by Index Option Returns,design_transfer_stress_test,Reserved for options-based conditional-factor modeling and fit guidance.,Reserved for options-based conditional-factor modeling and fit guidance.,
theory-structural,JFE,2022,10.1016/j.jfineco.2022.06.002,Why does the Fed move markets so much? A model of monetary policy and time-varying risk aversion,design_transfer_stress_test,Reserved for monetary-policy equilibrium and calibration transfer.,Reserved for monetary-policy equilibrium and calibration transfer.,
theory-structural,JFE,2022,10.1016/j.jfineco.2021.09.001,Leverage,design_transfer_stress_test,Reserved for a parsimonious leverage model and quantitative-appendix boundary.,Reserved for a parsimonious leverage model and quantitative-appendix boundary.,
theory-structural,JFE,2024,10.1016/j.jfineco.2024.103875,Financial market concentration and misallocation,design_transfer_stress_test,"Reserved for concentration, equilibrium misallocation, and policy counterfactual testing.","Reserved for concentration, equilibrium misallocation, and policy counterfactual testing.",
theory-structural,RFS,2024,10.1093/rfs/hhae028,Why Did Bank Stocks Crash during COVID-19?,quantitative_bank_risk_transfer,Reserved to test quantitative bank-risk decomposition and model-conditioned interpretation.,"Test whether observed returns, balance-sheet exposures, model mapping, and counterfactual claims are separated.",
theory-structural,RFS,2021,10.1093/rfs/hhaa122,Asset-Level Risk and Return in Real Estate Investments,design_transfer_stress_test,"Reserved for illiquid-asset calibration, qualitative predictions, and parameter identification.","Reserved for illiquid-asset calibration, qualitative predictions, and parameter identification.",
theory-structural,RFS,2022,10.1093/rfs/hhab136,Countercyclical Labor Income Risk and Portfolio Choices over the Life Cycle,design_transfer_stress_test,Reserved for life-cycle estimation and portfolio-choice generalization.,Reserved for life-cycle estimation and portfolio-choice generalization.,
theory-structural,RFS,2025,10.1093/rfs/hhae068,The Gender Investment Gap over the Life Cycle,design_transfer_stress_test,Reserved as an independently curated life-cycle model stress test; not used in the selected fifty.,Reserved as an independently curated life-cycle model stress test; not used in the selected fifty.,
theory-structural,RFS,2025,10.1093/rfs/hhaf047,The Elasticity of Quantitative Investment,design_transfer_stress_test,Reserved for demand-system estimation and validity of quantitative-investment counterfactuals.,Reserved for demand-system estimation and validity of quantitative-investment counterfactuals.,
general-writing,JF,2024,10.1111/jofi.13398,"Mortgage Lock-In, Mobility, and Labor Reallocation",complex_design_extraction_stress_test,Strong causal and real-effects architecture but local OCR damage makes it unsuitable for rule induction.,Test source-boundary behavior and whether a complex housing design is summarized without pretending damaged sections were reviewed.,The local extraction has known introduction damage; consult the PDF for article-level use.
general-writing,JFE,2023,10.1016/j.jfineco.2023.07.002,Temperature shocks and industry earnings news,measurement_mechanism_stress_test,A strong measurement-and-mechanism structure was reserved to test transfer without enlarging the climate-paper footprint of the general set.,"Test whether flexible exposure measurement, bidirectional effects, analyst responses, robustness, and scope are compressed without becoming a checklist.",
general-writing,RFS,2025,10.1093/rfs/hhae003,Missing Data in Asset Pricing Panels,missing_data_method_stress_test,A technically strong asset-pricing missing-data paper was reserved to test method-heavy exposition.,Test whether the skill explains the economic object before notation and separates data repair from pricing claims.,
